nome,cognome,codice_fiscale,data_nascita,email,telefono
Mario,Rossi,RSSMRA85M01H501Z,1985-08-01,mario.rossi@email.it,3401234567
Laura,Bianchi,BNCLRA90A41F205W,1990-01-01,laura.bianchi@email.it,3487654321
Giuseppe,Verdi,VRDGPP75C15F205K,1975-03-15,,3339876543
Giovanni,Zanetti,ZNTGNN64P03D612M,1964-09-03,giovanni.zanetti@gmail.com,3668078673
Giovanni,Mancini,MNCGNN59M13D612R,1959-08-13,giovanni.mancini@email.it,3888038374
Claudio,Baresi,BRSCLD64T15B354D,1964-12-15,,3318090293
Chiara,Santoro,SNTCHR59D66H199G,1959-04-26,chiara.santoro@gmail.com,3405437923
Mauro,Ruggiero,RGGMRA51C14D548N,1951-03-14,mauro.ruggiero@fastwebnet.it,3404226067
Luigi,Fontanella,FNTLGU60H11H199A,1960-06-11,luigi.fontanella@gmail.com,3358606962
Elena,Marini,MRNLNE71S55A944Q,1971-11-15,elena.marini@gmail.com,3495107245
Guido,Basile,BSLGDU64C20D548R,1964-03-20,guido.basile@fastwebnet.it,3244842788
Claudio,Piras,PRSCLD64A08F839Y,1964-01-08,claudio.piras@tiscali.it,3779375710
Arianna,Galli,GLLRNN81C41G273E,1981-03-01,arianna.galli@outlook.it,3358187926
Federica,Gentile,GNTFRC52E69L049P,1952-05-29,federica.gentile@email.it,3318082668
Nicola,Basile,BSLNCL93H17L424L,1993-06-17,nicola.basile@fastwebnet.it,3805476583
Sofia,Fabbri,FBBSFO79A42D969Q,1979-01-02,sofia.fabbri@yahoo.it,3286007072
Stefano,Marini,MRNSFN54H29G999F,1954-06-29,,3481009594
Greta,Ferrari,FRRGRT50A53D548G,1950-01-13,greta.ferrari@yahoo.it,3662321324
Pietro,Gallo,GLLPTR87R16H199H,1987-10-16,pietro.gallo@virgilio.it,3488099076
Matteo,Trevisan,TRVMTT67T19F158R,1967-12-19,,3777264956
Federica,Negri,NGRFRC80L43L219R,1980-07-03,federica.negri@gmail.com,3494860684
Mario,Conti,CNTMRA03L03H224M,2003-07-03,mario.conti@gmail.com,3484993055
Eleonora,Sorrentino,SRRLNR59C62G999Y,1959-03-22,eleonora.sorrentino@tiscali.it,3477829332
Franco,Costa,CSTFNC99B13G224U,1999-02-13,franco.costa@icloud.com,3772651177
Vito,Visentin,VSNVTI70H10B354T,1970-06-10,,3344214348
Claudio,Barbieri,BRBCLD77S06D969Y,1977-11-06,claudio.barbieri@outlook.it,3281848731
Carlo,Vitale,VTLCRL54T02G224I,1954-12-02,carlo.vitale@outlook.it,3421036161
Rita,Silvestri,SLVRTI65M44G224P,1965-08-04,rita.silvestri@fastwebnet.it,3335977931
Angelo,Cattaneo,CTTNGL88M22F205W,1988-08-22,angelo.cattaneo@email.it,3489910817
Angelo,Grassi,GRSNGL47C10H294G,1947-03-10,angelo.grassi@tiscali.it,3423011363
Luigi,Brambilla,BRMLGU47E10G224A,1947-05-10,luigi.brambilla@tiscali.it,3336271130
Edoardo,Donati,DNTDRD51P28H223D,1951-09-28,edoardo.donati@virgilio.it,3462677407
Federico,Orlando,RLNFRC63R17G273T,1963-10-17,,3275098412
Silvia,Mariani,MRNSLV79D64D643T,1979-04-24,silvia.mariani@yahoo.it,3206022741
Giorgio,Marchetti,MRCGRG50E10H703L,1950-05-10,giorgio.marchetti@fastwebnet.it,3704533779
Carmela,Mazza,MZZCML96S64H294Z,1996-11-24,carmela.mazza@virgilio.it,3778106422
Anna,Rossi,RSSNNA69T43H199B,1969-12-03,anna.rossi@yahoo.it,3888175395
Bruno,Conti,CNTBRN01T29H703U,2001-12-29,bruno.conti@email.it,3298210624
Luigi,Ferri,FRRLGU72P17H703Z,1972-09-17,,3247003042
Riccardo,Piazza,PZZRCR49C22L736K,1949-03-22,riccardo.piazza@icloud.com,3313970445
Maria,Caruso,CRSMRA69R60B354L,1969-10-20,,3805163555
Elena,Furlan,FRLLNE49P52F158Z,1949-09-12,,3474731818
Mauro,Palumbo,PLMMRA67E19D643E,1967-05-19,mauro.palumbo@outlook.it,3337685149
Chiara,Gallo,GLLCHR65A55L736V,1965-01-15,chiara.gallo@icloud.com,3202935113
Giulia,Cattaneo,CTTGLI63R65F205U,1963-10-25,giulia.cattaneo@icloud.com,3709580255
Nicola,Lombardi,LMBNCL57A19A662K,1957-01-19,nicola.lombardi@icloud.com,3804305700
Alice,Gallo,GLLLCA99M44D548Q,1999-08-04,alice.gallo@tim.it,3486188935
Valentina,Piras,PRSVNT02L60C351Q,2002-07-20,valentina.piras@outlook.it,3803919694
Elisa,Farina,FRNLSE40A54C351L,1940-01-14,elisa.farina@icloud.com,3398801207
Camilla,Vitali,VTLCLL59C44L049X,1959-03-04,camilla.vitali@libero.it,3486623525
Simone,Vitali,VTLSMN67S06D612Z,1967-11-06,simone.vitali@libero.it,3472221854
Beatrice,Poli,PLOBRC91M64A944V,1991-08-24,beatrice.poli@icloud.com,3291093026
Attilio,Gentile,GNTTTL55R12B354K,1955-10-12,,3488793853
Riccardo,Lombardo,LMBRCR80T13G273R,1980-12-13,riccardo.lombardo@fastwebnet.it,3469468772
Valeria,Farina,FRNVLR80A42H703W,1980-01-02,valeria.farina@virgilio.it,3775652512
Irene,Vitale,VTLRNI64M60L424X,1964-08-20,irene.vitale@yahoo.it,3392351868
Stefano,Martinelli,MRTSFN74E13G478Q,1974-05-13,stefano.martinelli@outlook.it,3398816912
Giuseppina,Leone,LNEGPP77P50F158I,1977-09-10,,3661327691
Emma,Rossi,RSSMME71L63C351R,1971-07-23,emma.rossi@icloud.com,3349191131
Leonardo,D'Amico,DMCLRD83L27H501H,1983-07-27,leonardo.damico@icloud.com,3299961107
Valerio,Baresi,BRSVLR90M19H223X,1990-08-19,valerio.baresi@icloud.com,3245364698
Valentina,Longo,LNGVNT80R56L781T,1980-10-16,valentina.longo@icloud.com,3278890439
Roberto,Palumbo,PLMRRT60B12H224Q,1960-02-12,roberto.palumbo@email.it,3331341919
Simone,Moretti,MRTSMN82H26H223S,1982-06-26,simone.moretti@outlook.it,3403815034
Massimo,Ferri,FRRMSM49P12G337E,1949-09-12,massimo.ferri@yahoo.it,3424327421
Riccardo,Giordano,GRDRCR02L19H199O,2002-07-19,riccardo.giordano@tiscali.it,3409937982
Eleonora,Marini,MRNLNR46C49L049D,1946-03-09,eleonora.marini@email.it,3457076506
Michela,Santoro,SNTMHL79A66D969W,1979-01-26,michela.santoro@yahoo.it,3468307727
Valentina,Serra,SRRVNT47R50A662X,1947-10-10,,3348796514
Martina,Esposito,SPSMTN84E46H294D,1984-05-06,martina.esposito@virgilio.it,3395691890
Barbara,Bianchi,BNCBBR86E47A944V,1986-05-07,barbara.bianchi@icloud.com,3888987516
Camilla,Ferrari,FRRCLL48E47C351M,1948-05-07,camilla.ferrari@outlook.it,3408939993
Alice,Baroni,BRNLCA89E58L781U,1989-05-18,alice.baroni@virgilio.it,3343024269
Claudio,Lombardo,LMBCLD88A28H199H,1988-01-28,claudio.lombardo@outlook.it,3899801946
Nicole,Costa,CSTNCL57E71C351M,1957-05-31,nicole.costa@libero.it,3295602180
Roberto,Farina,FRNRRT66C17G478X,1966-03-17,,3779235577
Giuseppe,Lombardi,LMBGPP65L05B157W,1965-07-05,giuseppe.lombardi@tim.it,3472914064
Vito,Sorrentino,SRRVTI46M24G337B,1946-08-24,vito.sorrentino@email.it,3382429098
Paolo,Rizzi,RZZPLA77E03F257R,1977-05-03,paolo.rizzi@tiscali.it,3468427625
Adele,Baresi,BRSDLA78H61C351U,1978-06-21,adele.baresi@email.it,3774540415
Eleonora,De Luca,DLCLNR54B42D612R,1954-02-02,eleonora.deluca@gmail.com,3468883823
Anna,Martinelli,MRTNNA65S45G478Q,1965-11-05,anna.martinelli@virgilio.it,3354318855
Sofia,Pellegrino,PLLSFO60C42H224L,1960-03-02,sofia.pellegrino@yahoo.it,3316160869
Camilla,Lombardo,LMBCLL82A58G478Q,1982-01-18,camilla.lombardo@icloud.com,3478344375
Luigi,D'Amico,DMCLGU05S24L781F,2005-11-24,luigi.damico@email.it,3661348050
Monica,Marino,MRNMNC55P59B157D,1955-09-19,monica.marino@virgilio.it,3459249789
Marcello,Palumbo,PLMMCL76M19L781D,1976-08-19,marcello.palumbo@gmail.com,3889312590
Eleonora,Piras,PRSLNR89E48F205H,1989-05-08,eleonora.piras@tim.it,3429633492
Guido,Valente,VLNGDU44S11A944E,1944-11-11,guido.valente@tiscali.it,3461865901
